CensusTime,AgeH,Chamber,Collective,UniqueName,line,treatment,Transfer,Deaths,Carried,Censored,Flag1,Flag2,N,trial,IntDeaths
1,2016-02-28 11:05:30,45.9133333333333,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,2,0,0,0,8,21,1
2,2016-02-28 11:05:30,45.9133333333333,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,2,0,0,0,8,21,1
3,2016-02-28 11:05:30,45.9133333333333,10,10,Ral426/H2O2,Ral426,H2O2,Y,0,3,0,0,0,7,21,1
4,2016-02-28 11:05:30,45.9133333333333,10,10,Ral426/H2O2,Ral426,H2O2,Y,0,3,0,0,0,7,21,1
5,2016-02-28 11:05:30,45.9133333333333,10,10,Ral426/H2O2,Ral426,H2O2,Y,0,3,0,0,0,7,21,1
6,2016-02-28 11:05:30,45.9133333333333,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,1,0,0,0,9,21,1
7,2016-02-28 11:05:30,45.9133333333333,26,26,Ral426/H2O2,Ral426,H2O2,Y,0,1,0,0,0,9,21,1
8,2016-02-28 11:05:30,45.9133333333333,30,30,Ral879/H2O2,Ral879,H2O2,Y,0,1,0,0,0,9,21,1
9,2016-02-28 11:05:30,45.9133333333333,31,31,Ral859/H2O2,Ral859,H2O2,Y,0,1,0,0,0,9,21,1
10,2016-02-28 11:05:30,45.9133333333333,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,2,0,0,0,8,21,1
11,2016-02-28 11:05:30,45.9133333333333,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,2,0,0,0,8,21,1
12,2016-02-28 11:05:30,45.9133333333333,36,36,Ral802/H2O2,Ral802,H2O2,Y,0,1,0,0,0,9,21,1
13,2016-02-28 11:05:30,45.9133333333333,45,45,Ral374/H2O2,Ral374,H2O2,Y,0,1,0,0,0,9,21,1
14,2016-02-28 11:05:30,45.9133333333333,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,1,0,0,0,9,21,1
15,2016-02-28 11:05:30,45.9133333333333,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,2,0,0,0,8,21,1
16,2016-02-28 11:05:30,45.9133333333333,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,2,0,0,0,8,21,1
17,2016-02-28 11:05:30,45.9133333333333,57,57,Ral367/H2O2,Ral367,H2O2,Y,0,1,0,0,0,9,21,1
