CensusTime,AgeH,Chamber,Collective,UniqueName,Transfer,Deaths,Carried,Censored,IntDeaths,Flag1,Flag2,N
1/25/17 12:00 PM,1.00,1,1,marcal1_87/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,2,2,ush_44/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,3,3,lwr_86/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,4,4,lwr_24/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,5,5,ush_57/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,6,6,lwr_86/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,7,7,ush_57/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,8,8,Nha1_84/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,9,9,AChR_47/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,10,10,lwr_86/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,11,11,ush_57/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,12,12,ush_44/RU_added/peroxide,Y,0,0,0,0,0,0,8
1/25/17 12:00 PM,1.00,13,13,ush_44/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,14,14,lwr_24/no_RU/water,Y,0,0,0,0,0,0,1
1/25/17 12:00 PM,1.00,15,15,lwr_86/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,16,16,ush_44/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,17,17,AChR_47/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,18,18,ush_57/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,19,19,lwr_86/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,20,20,lwr_24/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,21,21,ush_57/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,22,22,ush_44/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,23,23,marcal1_87/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,24,24,Nha1_84/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,25,25,lwr_24/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,26,26,lwr_86/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,27,27,marcal1_87/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,28,28,lwr_86/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,29,29,AChR_47/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,30,30,ush_44/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,31,31,ush_57/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,32,32,marcal1_87/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,33,33,marcal1_87/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,34,34,ush_57/RU_added/water,Y,0,0,0,0,0,0,1
1/25/17 12:00 PM,1.00,35,35,lwr_86/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,36,36,AChR_47/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,37,37,ush_57/RU_added/peroxide,Y,0,0,0,0,0,0,20
1/25/17 12:00 PM,1.00,38,38,marcal1_87/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,39,39,ush_44/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,40,40,ush_57/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,41,41,AChR_47/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,42,42,AChR_47/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,43,43,AChR_47/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,44,44,lwr_86/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,45,45,marcal1_87/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,46,46,lwr_24/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,47,47,lwr_86/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,48,48,ush_44/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,49,49,ush_44/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,50,50,marcal1_87/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,51,51,lwr_86/no_RU/peroxide,Y,0,0,0,0,0,0,8
1/25/17 12:00 PM,1.00,52,52,lwr_24/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,53,53,ush_44/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,54,54,marcal1_87/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,55,55,AChR_47/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,56,56,marcal1_87/no_RU/water,Y,0,0,0,0,0,0,1
1/25/17 12:00 PM,1.00,57,57,lwr_24/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,58,58,ush_44/RU_added/peroxide,Y,0,0,0,0,0,0,7
1/25/17 12:00 PM,1.00,59,59,marcal1_87/no_RU/peroxide,Y,0,0,0,0,0,0,11
1/25/17 12:00 PM,1.00,60,60,Nha1_84/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,61,61,lwr_86/RU_added/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,62,62,Nha1_84/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,63,63,ush_57/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,64,64,AChR_47/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,65,65,marcal1_87/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,66,66,marcal1_87/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,67,67,AChR_47/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,68,68,lwr_24/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,69,69,Nha1_84/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,70,70,AChR_47/no_RU/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,71,71,ush_44/RU_added/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,72,72,AChR_47/RU_added/peroxide,Y,0,0,0,0,0,0,11
1/25/17 12:00 PM,1.00,73,73,ush_57/RU_added/peroxide,Y,0,0,0,0,0,0,10
1/25/17 12:00 PM,1.00,74,74,ush_57/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,75,75,lwr_86/no_RU/peroxide,Y,0,0,0,0,0,0,9
1/25/17 12:00 PM,1.00,76,76,Nha1_84/no_RU/water,Y,0,0,0,0,0,0,0
1/25/17 12:00 PM,1.00,77,77,ush_57/RU_added/peroxide,Y,0,0,0,0,0,0,10
