CensusTime,AgeH,Chamber,Collective,UniqueName,Transfer,Deaths,Carried,Censored,IntDeaths,Flag1,Flag2,N
5/12/18 6:35 PM,1.00,1,1,GlyP_32/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,2,2,Ets21C_89/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,3,3,pug_43/minus/peroxide,Y,0,0,0,-7,0,0,10
5/12/18 6:35 PM,1.00,4,4,attP2/minus/peroxide,Y,0,0,0,-4,0,0,10
5/12/18 6:35 PM,1.00,5,5,GlyP_32/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,6,6,attP40/plus/water,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,7,7,pug_43/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,8,8,attP40/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,9,9,Glycogenin_22/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,10,10,attP40/plus/peroxide,Y,0,0,0,-9,0,0,10
5/12/18 6:35 PM,1.00,11,11,GlyS_79/minus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,12,12,GlyS_58/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,13,13,attP2/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,14,14,Glycogenin_22/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,15,15,CG8665_73/plus/peroxide,Y,0,0,0,-8,0,0,10
5/12/18 6:35 PM,1.00,16,16,attP2/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,17,17,pug_43/minus/peroxide,Y,0,0,0,-7,0,0,10
5/12/18 6:35 PM,1.00,18,18,attP40/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,19,19,GlyP_32/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,20,20,GlyP_32/plus/peroxide,Y,0,0,0,-7,0,0,10
5/12/18 6:35 PM,1.00,21,21,CG8665_73/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,22,22,CG8665_73/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,23,23,GlyS_58/minus/peroxide,Y,0,0,0,-9,0,0,10
5/12/18 6:35 PM,1.00,24,24,Ets21C_89/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,25,25,GlyS_58/minus/peroxide,Y,0,0,0,-8,0,0,10
5/12/18 6:35 PM,1.00,26,26,pug_43/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,27,27,pug_43/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,28,28,Ets21C_89/minus/peroxide,Y,0,0,0,-4,0,0,10
5/12/18 6:35 PM,1.00,29,29,attP2/minus/peroxide,Y,0,0,0,-3,0,0,10
5/12/18 6:35 PM,1.00,30,30,CG8665_73/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,31,31,Ets21C_89/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,32,32,Glycogenin_22/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,33,33,GlyP_32/minus/peroxide,Y,0,0,0,-3,0,0,10
5/12/18 6:35 PM,1.00,34,34,attP40/minus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,35,35,CG8665_73/minus/peroxide,Y,0,0,0,-8,0,0,10
5/12/18 6:35 PM,1.00,36,36,Ets21C_89/minus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,37,37,CG8665_73/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,38,38,Ets21C_89/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,39,39,attP2/minus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,40,40,Glycogenin_22/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,41,41,Glycogenin_22/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,42,42,attP40/plus/water,Y,0,0,0,-3,0,0,10
5/12/18 6:35 PM,1.00,43,43,pug_43/minus/peroxide,Y,0,0,0,-7,0,0,10
5/12/18 6:35 PM,1.00,44,44,pug_43/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,45,45,Glycogenin_22/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,46,46,CG8665_73/minus/peroxide,Y,0,0,0,-6,0,0,10
5/12/18 6:35 PM,1.00,47,47,GlyS_58/minus/peroxide,Y,0,0,0,-9,0,0,10
5/12/18 6:35 PM,1.00,48,48,pug_43/plus/peroxide,Y,0,0,0,-8,0,0,10
5/12/18 6:35 PM,1.00,49,49,GlyS_79/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,50,50,attP2/plus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,51,51,GlyS_58/minus/peroxide,Y,0,0,0,-8,0,0,10
5/12/18 6:35 PM,1.00,52,52,GlyP_32/plus/peroxide,Y,0,0,0,-6,0,0,10
5/12/18 6:35 PM,1.00,53,53,attP40/minus/water,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,54,54,GlyP_32/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,55,55,CG8665_73/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,56,56,Ets21C_89/plus/peroxide,Y,0,0,0,-3,0,0,10
5/12/18 6:35 PM,1.00,57,57,pug_43/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,58,58,GlyS_79/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,59,59,Ets21C_89/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,60,60,CG8665_73/minus/peroxide,Y,0,0,0,-6,0,0,10
5/12/18 6:35 PM,1.00,61,61,CG8665_73/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,62,62,GlyS_79/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,63,63,pug_43/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,64,64,GlyS_79/minus/peroxide,Y,0,0,0,-3,0,0,10
5/12/18 6:35 PM,1.00,65,65,attP2/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,66,66,Ets21C_89/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,67,67,attP40/minus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,68,68,pug_43/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,69,69,attP40/minus/peroxide,Y,0,0,0,-7,0,0,10
5/12/18 6:35 PM,1.00,70,70,GlyP_32/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,71,71,Glycogenin_22/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,72,72,pug_43/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,73,73,GlyP_32/minus/peroxide,Y,0,0,0,-2,0,0,10
5/12/18 6:35 PM,1.00,74,74,Glycogenin_22/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,75,75,pug_43/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,76,76,pug_43/plus/peroxide,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,77,77,GlyS_79/plus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,78,78,pug_43/minus/water,Y,0,0,0,0,0,0,10
5/12/18 6:35 PM,1.00,79,79,Glycogenin_22/minus/water,Y,0,0,0,-1,0,0,10
5/12/18 6:35 PM,1.00,80,80,Glycogenin_22/minus/peroxide,Y,0,0,0,-6,0,0,10
