FID IID per.adjust.In.2L.t
line_100 line_100 -0.107599899086954
line_101 line_101 -0.308850834086953
line_109 line_109 1.40402399991305
line_129 line_129 -0.850340707638298
line_136 line_136 0.965080524361702
line_138 line_138 -0.198958024638298
line_142 line_142 -1.2509536406383
line_149 line_149 -1.0427787896383
line_153 line_153 -0.525608792638298
line_158 line_158 -0.281063468638298
line_161 line_161 -0.746016487125001
line_176 line_176 -0.766557181638298
line_177 line_177 -0.124996594638298
line_181 line_181 -0.648359276638298
line_189 line_189 -0.541693252638298
line_195 line_195 1.3234003543617
line_208 line_208 -0.966835091638298
line_21 line_21 -0.268654122638298
line_217 line_217 0.358166730361702
line_227 line_227 0.553478564361702
line_228 line_228 0.390023473361702
line_229 line_229 0.0485541723617022
line_235 line_235 0.840552502361702
line_237 line_237 0.852266009913043
line_239 line_239 1.3924326373617
line_256 line_256 0.839919845361702
line_26 line_26 0.131373910874999
line_28 line_28 -1.8093031906383
line_280 line_280 -0.553062780638298
line_287 line_287 1.4050022153617
line_301 line_301 -0.0320379280869571
line_303 line_303 -0.455881321086957
line_304 line_304 -0.967734841638298
line_306 line_306 -0.342036817638298
line_307 line_307 0.876742868361702
line_309 line_309 -0.357189227638298
line_31 line_31 0.769262516361702
line_310 line_310 -0.114288791638298
line_313 line_313 1.279612187875
line_315 line_315 -0.367313867638298
line_317 line_317 0.349015787361702
line_318 line_318 -0.215436816638298
line_319 line_319 0.0261797513617022
line_32 line_32 -0.0199539411250009
line_320 line_320 2.1574664993617
line_321 line_321 -1.0238986236383
line_324 line_324 -0.636645836638298
line_332 line_332 0.392565383361702
line_336 line_336 0.469283912913043
line_338 line_338 1.09840237491304
line_340 line_340 -1.0981993606383
line_348 line_348 -0.506009999125001
line_350 line_350 0.217893373874999
line_352 line_352 -0.288129612086957
line_354 line_354 0.0899169793617022
line_355 line_355 -0.478597212638298
line_356 line_356 -0.537555699638298
line_358 line_358 -0.196877546125001
line_359 line_359 -0.478014253125001
line_360 line_360 0.825306377361702
line_362 line_362 0.714600311361702
line_365 line_365 -0.715270196638298
line_370 line_370 -1.5433015806383
line_371 line_371 -0.125760767638298
line_373 line_373 -0.718895505638298
line_374 line_374 0.138054525361702
line_375 line_375 0.921469109361702
line_377 line_377 -0.0977521110869571
line_379 line_379 1.0120239383617
line_38 line_38 0.357499530361702
line_380 line_380 0.211545117361702
line_381 line_381 -0.402450984086957
line_382 line_382 1.4565240973617
line_385 line_385 0.852624017361702
line_386 line_386 -0.147787384125001
line_390 line_390 -0.903921918125001
line_391 line_391 -0.263932068638298
line_392 line_392 0.751818026361702
line_395 line_395 -0.0936919876382978
line_397 line_397 -0.997904067638298
line_399 line_399 -0.767267004638298
line_40 line_40 0.762313995361702
line_405 line_405 -0.571756033086957
line_406 line_406 0.112920867874999
line_409 line_409 -0.680055005638298
line_41 line_41 -0.156902472638298
line_42 line_42 -1.6026288366383
line_426 line_426 -0.355304983086957
line_427 line_427 -0.747430374638298
line_437 line_437 -0.0113216566382978
line_439 line_439 -0.696803905638298
line_440 line_440 0.671172426361702
line_441 line_441 1.0615701443617
line_443 line_443 0.579042354913043
line_461 line_461 -1.1198998916383
line_48 line_48 0.788102398361702
line_486 line_486 -0.845549857638298
line_491 line_491 0.657710164361702
line_492 line_492 -0.213165034086957
line_502 line_502 0.0234856199130429
line_505 line_505 -1.1339637786383
line_509 line_509 1.2681881313617
line_513 line_513 -0.395770683638298
line_517 line_517 -0.696519018638298
line_528 line_528 -1.32648624508696
line_531 line_531 -1.2286586726383
line_535 line_535 0.286878510361702
line_551 line_551 -0.492006115638298
line_555 line_555 -0.148115670638298
line_559 line_559 0.505553402361702
line_563 line_563 0.930388220913043
line_566 line_566 -0.393072868638298
line_57 line_57 -0.509540401638298
line_584 line_584 0.874721020874999
line_589 line_589 0.0195950763617022
line_595 line_595 0.413315293913043
line_596 line_596 -0.125988294638298
line_627 line_627 -0.788315699125001
line_630 line_630 0.641627311874999
line_634 line_634 -0.00326856163829776
line_639 line_639 -0.255076921638298
line_642 line_642 2.1158447503617
line_646 line_646 0.831129588361702
line_703 line_703 0.101704189361702
line_705 line_705 1.6246490543617
line_707 line_707 0.592879932361702
line_712 line_712 -0.266693048638298
line_714 line_714 1.1368218933617
line_716 line_716 -0.282734800638298
line_721 line_721 -0.0103731086382977
line_727 line_727 0.0588061793617022
line_73 line_73 -0.143408134638298
line_730 line_730 1.7032167863617
line_732 line_732 -1.2755072356383
line_738 line_738 0.157669632361702
line_748 line_748 0.807031313874999
line_75 line_75 -0.282247985638298
line_757 line_757 -0.604344230638298
line_761 line_761 -0.859549095638298
line_765 line_765 -1.0107735796383
line_774 line_774 -0.323057870638298
line_776 line_776 -0.471089683638298
line_783 line_783 0.232588430361702
line_786 line_786 0.938657969361702
line_787 line_787 -0.856687818638298
line_790 line_790 0.0137512973617022
line_796 line_796 0.140247827361702
line_799 line_799 -0.392207014638298
line_801 line_801 -0.906750711638298
line_802 line_802 0.128739677913043
line_804 line_804 -1.3248872516383
line_805 line_805 0.604861207361702
line_808 line_808 -0.607554542638298
line_810 line_810 -0.615106156638298
line_818 line_818 0.0647442183617022
line_819 line_819 -1.5704030226383
line_820 line_820 0.0836408623617022
line_821 line_821 0.532253882361702
line_822 line_822 0.214663516361702
line_832 line_832 0.533542239361702
line_843 line_843 0.204780195361702
line_85 line_85 -0.729157831086957
line_852 line_852 1.2021208883617
line_853 line_853 -0.211788907638298
line_855 line_855 0.954886825361702
line_859 line_859 1.0151622443617
line_879 line_879 0.357521263361702
line_88 line_88 -0.707468484086957
line_882 line_882 1.0906241003617
line_887 line_887 1.5236343753617
line_890 line_890 -0.457826670638298
line_894 line_894 -0.302906165086957
line_897 line_897 -0.264854654638298
line_900 line_900 -0.303919658638298
line_907 line_907 -0.153823692638298
line_908 line_908 0.439128279361702
line_91 line_91 0.593995655361702
line_911 line_911 -0.439924838638298
line_913 line_913 0.968334505361702
line_93 line_93 -0.278282759125001
