FID IID peroxide.resistance
line_21 line_21 -0.181428568
line_26 line_26 -0.055409619
line_28 line_28 -1.722077636
line_31 line_31 0.856488071
line_32 line_32 -0.206737471
line_38 line_38 0.444725085
line_40 line_40 0.84953955
line_41 line_41 -0.069676918
line_42 line_42 -1.515403282
line_48 line_48 0.875327953
line_57 line_57 -0.422314847
line_73 line_73 -0.05618258
line_75 line_75 -0.195022431
line_85 line_85 -1.077014361
line_88 line_88 -1.055325014
line_91 line_91 0.68122121
line_93 line_93 -0.465066289
line_100 line_100 -0.455456429
line_101 line_101 -0.656707364
line_109 line_109 1.05616747
line_129 line_129 -0.763115153
line_136 line_136 1.052306079
line_138 line_138 -0.11173247
line_142 line_142 -1.163728086
line_149 line_149 -0.955553235
line_153 line_153 -0.438383238
line_158 line_158 -0.193837914
line_161 line_161 -0.932800017
line_176 line_176 -0.679331627
line_177 line_177 -0.03777104
line_181 line_181 -0.561133722
line_189 line_189 -0.454467698
line_195 line_195 1.410625909
line_208 line_208 -0.879609537
line_217 line_217 0.445392285
line_227 line_227 0.640704119
line_228 line_228 0.477249028
line_229 line_229 0.135779727
line_235 line_235 0.927778057
line_237 line_237 0.50440948
line_239 line_239 1.479658192
line_256 line_256 0.9271454
line_280 line_280 -0.465837226
line_287 line_287 1.49222777
line_301 line_301 -0.379894458
line_303 line_303 -0.803737851
line_304 line_304 -0.880509287
line_306 line_306 -0.254811263
line_307 line_307 0.963968423
line_309 line_309 -0.269963673
line_310 line_310 -0.027063237
line_313 line_313 1.092828658
line_315 line_315 -0.280088313
line_317 line_317 0.436241342
line_318 line_318 -0.128211262
line_319 line_319 0.113405306
line_320 line_320 2.244692054
line_321 line_321 -0.936673069
line_324 line_324 -0.549420282
line_332 line_332 0.479790938
line_336 line_336 0.121427383
line_338 line_338 0.750545845
line_340 line_340 -1.010973806
line_348 line_348 -0.692793529
line_350 line_350 0.031109844
line_352 line_352 -0.635986142
line_354 line_354 0.177142534
line_355 line_355 -0.391371658
line_356 line_356 -0.450330145
line_358 line_358 -0.383661076
line_359 line_359 -0.664797783
line_360 line_360 0.912531932
line_362 line_362 0.801825866
line_365 line_365 -0.628044642
line_370 line_370 -1.456076026
line_371 line_371 -0.038535213
line_373 line_373 -0.631669951
line_374 line_374 0.22528008
line_375 line_375 1.008694664
line_377 line_377 -0.445608641
line_379 line_379 1.099249493
line_380 line_380 0.298770672
line_381 line_381 -0.750307514
line_382 line_382 1.543749652
line_385 line_385 0.939849572
line_386 line_386 -0.334570914
line_390 line_390 -1.090705448
line_391 line_391 -0.176706514
line_392 line_392 0.839043581
line_395 line_395 -0.006466433
line_397 line_397 -0.910678513
line_399 line_399 -0.68004145
line_405 line_405 -0.919612563
line_406 line_406 -0.073862662
line_409 line_409 -0.592829451
line_426 line_426 -0.703161513
line_427 line_427 -0.66020482
line_437 line_437 0.075903898
line_439 line_439 -0.609578351
line_440 line_440 0.758397981
line_441 line_441 1.148795699
line_443 line_443 0.231185825
line_461 line_461 -1.032674337
line_486 line_486 -0.758324303
line_491 line_491 0.744935719
line_492 line_492 -0.561021564
line_502 line_502 -0.32437091
line_505 line_505 -1.046738224
line_509 line_509 1.355413686
line_513 line_513 -0.308545129
line_517 line_517 -0.609293464
line_528 line_528 -1.674342775
line_531 line_531 -1.141433118
line_535 line_535 0.374104065
line_551 line_551 -0.404780561
line_555 line_555 -0.060890116
line_559 line_559 0.592778957
line_563 line_563 0.582531691
line_566 line_566 -0.305847314
line_584 line_584 0.687937491
line_589 line_589 0.106820631
line_595 line_595 0.065458764
line_596 line_596 -0.03876274
line_627 line_627 -0.975099229
line_630 line_630 0.454843782
line_634 line_634 0.083956993
line_639 line_639 -0.167851367
line_642 line_642 2.203070305
line_646 line_646 0.918355143
line_703 line_703 0.188929744
line_705 line_705 1.711874609
line_707 line_707 0.680105487
line_712 line_712 -0.179467494
line_714 line_714 1.224047448
line_716 line_716 -0.195509246
line_721 line_721 0.076852446
line_727 line_727 0.146031734
line_730 line_730 1.790442341
line_732 line_732 -1.188281681
line_738 line_738 0.244895187
line_748 line_748 0.620247784
line_757 line_757 -0.517118676
line_761 line_761 -0.772323541
line_765 line_765 -0.923548025
line_774 line_774 -0.235832316
line_776 line_776 -0.383864129
line_783 line_783 0.319813985
line_786 line_786 1.025883524
line_787 line_787 -0.769462264
line_790 line_790 0.100976852
line_796 line_796 0.227473382
line_799 line_799 -0.30498146
line_801 line_801 -0.819525157
line_802 line_802 -0.219116852
line_804 line_804 -1.237661697
line_805 line_805 0.692086762
line_808 line_808 -0.520328988
line_810 line_810 -0.527880602
line_818 line_818 0.151969773
line_819 line_819 -1.483177468
line_820 line_820 0.170866417
line_821 line_821 0.619479437
line_822 line_822 0.301889071
line_832 line_832 0.620767794
line_843 line_843 0.29200575
line_852 line_852 1.289346443
line_853 line_853 -0.124563353
line_855 line_855 1.04211238
line_859 line_859 1.102387799
line_879 line_879 0.444746818
line_882 line_882 1.177849655
line_887 line_887 1.61085993
line_890 line_890 -0.370601116
line_894 line_894 -0.650762695
line_897 line_897 -0.1776291
line_900 line_900 -0.216694104
line_907 line_907 -0.066598138
line_908 line_908 0.526353834
line_911 line_911 -0.352699284
line_913 line_913 1.05556006
