,QC_neg_1.mzdata,QC_neg_2.mzdata,QC_neg_3.mzdata,QC_neg_4.mzdata,QC_neg_5.mzdata,QC_neg_6.mzdata,QC_neg_7.mzdata,QC_neg_8.mzdata,QC_neg_9.mzdata,neg_1.mzdata,neg_2.mzdata,neg_3.mzdata,neg_4.mzdata,neg_5.mzdata,neg_6.mzdata,neg_7.mzdata,neg_8.mzdata,neg_9.mzdata,neg_10.mzdata,neg_11.mzdata,neg_12.mzdata,neg_13.mzdata,neg_14.mzdata,neg_15.mzdata,neg_16.mzdata,neg_17.mzdata,neg_18.mzdata,neg_19.mzdata,neg_20.mzdata,neg_21.mzdata,neg_22.mzdata,neg_23.mzdata,neg_24.mzdata,neg_25.mzdata,neg_26.mzdata,neg_27.mzdata,neg_28.mzdata,neg_29.mzdata,neg_30.mzdata,neg_31.mzdata,neg_32.mzdata,neg_33.mzdata,neg_34.mzdata,neg_35.mzdata,neg_36.mzdata,neg_37.mzdata,neg_38.mzdata,neg_39.mzdata,neg_40.mzdata,neg_41.mzdata,neg_42.mzdata,neg_43.mzdata,neg_44.mzdata,neg_45.mzdata,neg_46.2.mzdata,neg_47.mzdata,neg_48.mzdata,neg_49.mzdata,neg_50.mzdata,neg_51.mzdata,neg_52.mzdata,neg_53.mzdata,neg_54.mzdata,neg_55.mzdata,neg_56.mzdata,neg_57.mzdata,neg_58.mzdata,neg_59.mzdata,neg_60.mzdata,neg_61.mzdata,neg_62.mzdata,neg_63.mzdata,neg_64.mzdata,neg_65.mzdata,neg_66.mzdata,neg_67.mzdata,neg_68.mzdata,neg_69.mzdata,neg_70.mzdata,neg_71.mzdata,neg_72.mzdata,neg_73.mzdata,neg_74.mzdata,neg_75.mzdata,neg_76.mzdata,neg_77.mzdata,neg_78.mzdata,neg_79.mzdata,neg_80.mzdata,neg_81.mzdata,neg_82.mzdata,neg_83.mzdata,neg_84.mzdata,neg_85.mzdata,neg_86.mzdata,neg_87.mzdata,neg_88.mzdata,neg_89.mzdata,neg_90.mzdata,neg_91.mzdata,neg_92.mzdata,neg_93.mzdata
mz1,4773.892244,4636.64959,4773.372098,4326.354316,4369.053516,4688.10404,4318.48375,4812.505259,5475.427997,0,219.9135027,0,0,0,0,0,0,130.8008397,376.2668716,0,303.9527111,0,0,0,0,0,656.2947506,0,0,142.5501614,0,0,0,0,0,0,0,0,0,260.7337593,0,0,0,0,0,0,0,0,0,110.0649116,0,0,0,0,0,0,104.0120208,0,0,0,0,0,117.744059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.5462516,0,115.5398484,0,127.2107952,99.71109822,0,0,0,0,122.4796019,0,0,0,0,0,0
mz2,7919.760952,10944.98827,8736.62997,6782.737676,8300.446875,8361.108841,7133.032462,10252.351,11292.07601,0,0,0,0,0,107.6876021,0,0,160.3314572,0,116.6320569,294.1055136,0,0,114.9931091,0,0,0,975.529976,96.87496079,0,0,106.1169418,0,0,0,0,218.8142065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.647514,0,0,0,0,0,0,0,0,0,0,0,0,0,132.7578365,0,106.7093066,102.0423965,0,0,0,0,0,0,406.8508054,110.93829,0,0,0,205.0584953,106.3600121,134.691459,0,99.91667254,0,0,0,0,391.6541123,0,96.06168936,0,117.1254751
mz3,27456.1572,23029.22932,29480.19609,33217.91105,29505.63396,27107.92251,47581.12009,41824.72164,34579.18428,0,1394.275868,562.974638,755.530888,840.4633552,785.8769285,1222.158386,0,1866.86421,1209.661105,4486.995503,859.6647161,1122.65691,646.33137,2267.484273,224.2557556,0,427.5767052,1593.38129,1265.251318,1504.754756,1212.29388,2198.813008,138.2651481,1497.140342,0,229.6700587,2539.90494,0,409.0828368,0,0,261.4690999,0,0,138.4485646,0,105.4228283,0,0,0,0,232.6765554,0,125.3594408,200.1735883,0,97.35260683,0,0,252.8990471,0,499.1277888,229.2927046,0,0,0,114.9938032,337.1933501,0,0,0,0,299.7644554,2536.465944,888.1168293,486.9719327,583.750964,1315.467211,1845.985549,1145.288992,0,487.2998615,401.7747063,2160.085576,403.3304758,4209.557785,315.0465831,202.4955844,338.5080167,169.8408018,395.4305716,107.1015992,959.4327038,0,250.5050087,2463.178027,176.2082964,787.2828894,0,894.020396,1521.168555,550.5231768
mz4,6681.737402,6150.768608,7103.652724,6187.190625,5509.243594,6333.833643,5678.69168,5356.28109,6102.618633,0,838.2267115,0,0,0,194.1145501,0,756.0848545,0,599.4932889,113.3322633,1209.032756,0,0,0,0,0,1655.032074,0,581.5166705,0,233.3390953,0,962.8970152,0,612.6133623,186.2151123,0,289.1114554,0,0,839.7597966,0,0,0,490.4160373,361.6481071,1909.370851,0,1033.749189,255.8381248,744.9629133,0,0,174.2811685,493.8827418,0,0,308.2053496,1161.504375,567.4398072,833.6849815,435.3266924,110.6051523,186.7049822,1135.217017,0,798.5063819,1002.835613,680.032139,220.8452641,0,448.4222334,0,0,447.20003,460.7207413,355.5705472,0,684.7697021,0,920.1375236,0,0,0,0,251.0344338,0,410.4927187,468.4427557,0,566.2616194,487.9817138,1082.843832,0,543.3895619,111.5577894,0,288.7999637,0,290.6223179,760.852735,500.3180259
mz5,4028.215282,3674.78719,3965.189297,5713.710306,5604.416016,3804.393804,5006.200816,5501.372535,3873.280577,0,0,0,0,0,0,0,0,0,0,0,123.3096976,0,0,0,0,0,0,3314.191608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885.073606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz6,6514.334717,6546.104414,6813.805313,7074.488009,9745.640771,5627.640141,15602.13615,9929.005154,15704.03112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6573014,0,0,0,802.7580914,0,0,0,0,0,0,0,103.4333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5992064,102.8650761,0,0,0,0,178.5957851,0,0,0,0,0,0,0,0,0,0,0,0,0,182.9112247,0,106.7765493,108.4228631,0,108.4619727,0,0,0,265.6446655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz7,2652.082855,26849.49429,18943.17246,26082.14467,23985.95921,26502.82462,43881.84328,43346.19484,42527.34238,0,0,0,0,0,225.867289,156.3371226,0,658.7008987,272.3471714,1788.698177,647.9253876,359.2524422,218.6514042,352.1104737,0,0,0,1363.156538,813.7751188,1207.52553,548.3381856,1525.688106,246.3113123,0,0,252.8901853,3641.008363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9612172,0,0,0,0,0,102.4833256,0,102.9098473,0,0,0,0,489.0374255,0,0,0,0,434.7051953,1118.264212,781.783916,131.1618829,145.7125155,0,0,214.1234946,0,0,112.6708439,409.0647669,0,1296.124449,0,0,169.1524179,99.83519375,0,0,539.7241787,0,0,163.2653348,0,174.0067677,0,177.5304498,271.6097169,210.9429976
mz8,5940.002111,5842.305385,2484.936211,5221.574133,3807.997115,4904.118316,4123.254672,8899.03362,5360.556897,0,192.1412431,109.2671239,0,0,181.851785,0,221.6902913,673.5582014,0,1323.781697,122.9546591,0,0,371.2108972,452.3648042,284.9090545,0,0,0,0,0,103.5104968,0,0,0,0,0,0,0,0,324.8082991,428.8181812,0,0,500.7297163,0,99.1618544,0,0,0,0,1128.883913,0,364.5232323,867.0447016,0,0,0,225.343381,2077.541704,0,0,0,0,0,0,0,0,2364.494004,0,0,196.3660875,0,631.7434947,113.278954,291.4769534,201.9756575,0,298.9855572,158.2078101,0,541.6822214,198.1649883,0,329.4055476,735.6420553,113.1441451,287.3028154,1059.389269,2815.72619,0,0,0,0,0,543.553521,263.1905226,0,0,0,0,110.6736542
mz9,829952.0242,989680.309,520955.8466,1170343.03,1595542.826,1693869.019,1845192.17,1837590.649,1938744.013,42746.63899,47048.11182,98382.42064,116104.0577,83859.72662,391563.2947,121842.2969,99101.06909,148666.5058,141157.0924,135630.6157,52844.57934,29585.49656,162546.5722,76584.65465,164864.1822,146818.2871,129380.6945,301577.8823,114642.4309,124312.1895,133564.6893,142405.5604,93721.90537,67374.03024,58773.77858,44860.73645,47720.38625,40467.29324,33682.96762,29472.92293,31768.85975,25497.17786,13517.28968,34609.08537,50771.31309,33415.25087,105254.4203,27109.55707,24952.1617,26629.716,25418.67665,95935.54851,7766.44459,256164.5149,85260.56281,56041.25366,49808.38411,18216.76368,42555.99537,49297.77362,27970.00518,83231.67526,25606.06617,89507.35712,134062.107,28138.38199,59652.23163,405383.5491,179252.8445,152623.7937,183174.7768,152847.6655,294005.6992,560516.1264,97789.91035,66837.22562,195766.4565,359720.7859,393928.755,267437.8451,66689.35661,135530.0696,113035.966,220607.8545,274786.681,152807.5209,97701.01967,73348.69675,104354.6785,138078.5208,119096.5395,58674.75285,276413.0176,135723.0531,69014.497,186118.4448,14853.09378,464141.0024,12647.77601,178129.8839,77947.05275,310930.9243
mz10,133889.8737,146431.3267,36623.93412,155206.3076,142347.9108,128003.0111,156779.8829,149901.5123,155445.1021,7066.32214,8207.348054,10748.31483,14277.5568,5411.146326,64918.54593,5364.238711,13504.24809,15114.16717,18628.66209,10551.62525,10283.45449,76689.51463,4971.438437,21884.42432,20177.47316,13781.65902,14973.20412,12422.64048,33856.83437,16992.38348,8213.880008,14837.91259,21266.65354,6578.611348,10756.38162,10287.85275,3964.425008,5968.666,6670.703727,7093.286893,6220.557606,4564.532809,2988.119501,9846.444459,9288.394595,6418.36613,16436.81281,4636.206402,4834.921638,2928.911949,3948.833675,6868.008213,5328.824795,15088.0047,6589.565883,4732.46056,11108.5579,4714.034742,4835.545674,5522.851188,6853.667648,12080.77483,4705.310592,11747.49902,11253.18779,19881.15673,11005.57646,15852.82427,29883.06098,28428.63243,101317.7192,14606.5054,16740.23164,20867.62396,8599.694211,8834.677817,9781.852586,14183.24102,23916.40149,18068.06397,4538.688199,22384.35923,12915.9832,25244.92607,27482.7047,26381.72113,12939.53391,6354.102859,11113.93197,9038.157157,18507.9385,9691.565467,7335.033007,18830.49034,18372.57993,21427.85339,12414.18726,19672.9799,7519.971036,17416.88227,9361.026928,9531.213153
