NW-MRC #,Sample ID,sample.weight,RalLine,RalLine,Treatment,NWMRC_Block,lifespan,line.weight
0,QC,NA,NA,QC_neg_1,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_2,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_3,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_4,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_5,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_6,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_7,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_8,QC,NA,NA,NA
0,QC,NA,NA,QC_neg_9,QC,NA,NA,NA
1,855 B+ 1,3.48,855,ral-855,B+,1,99.756625,0.849333333
2,320 B+ 1,3.78,320,ral-320,B+,1,107.4690509,0.898666667
3,88 B+ 1,3.89,88,ral-88,B+,1,70.00576742,1.032
4,129 B+ 1,3.86,129,ral-129,B+,1,61.13881019,0.928666667
5,149 B+ 1,3.72,149,ral-149,B+,1,59.58530556,1.024666667
6,161 B+ 1,3.55,161,ral-161,B+,1,59.40789352,0.938
7,195 B+ 1,3.55,195,ral-195,B+,1,109.4960028,1.069333333
8,239 B+ 1,4.4,239,ral-239,B+,1,111.5966855,1.097333333
9,310 B+ 1,3.97,310,ral-310,B+,1,98.4402919,1.078
10,505 B+ 1,3.48,505,ral-505,B+,1,56.35609539,1.023333333
11,627 B+ 1,3.3,627,ral-627,B+,1,53.14998588,0.933333333
12,730 B+ 1,3.99,730,ral-730,B+,1,119.7186265,0.984666667
13,732 B+ 1,3.09,732,ral-732,B+,1,53.4629023,0.902
14,787 B+ 1,2.99,787,ral-787,B+,1,57.53811891,0.859333333
15,821 B+ 1,3.56,821,ral-821,B+,1,90.36076149,0.964666667
16,852 B+ 1,3.35,852,ral-852,B+,1,114.168537,1.036666667
17,320 B-  1,3.31,320,ral-320,B-,1,107.4690509,0.898666667
18,505 B- 1,3.35,505,ral-505,B-,1,56.35609539,1.023333333
19,627 B- 1,3.24,627,ral-627,B-,1,53.14998588,0.933333333
20,730 B- 1,4.06,730,ral-730,B-,1,119.7186265,0.984666667
21,732 B- 1,3.68,732,ral-732,B-,1,53.4629023,0.902
22,787 B- 1,2.73,787,ral-787,B-,1,57.53811891,0.859333333
23,821 B-  1,3.73,821,ral-821,B-,1,90.36076149,0.964666667
24, 852 B- 1,4.3,852,ral-852,B-,1,114.168537,1.036666667
25,855 B- 1,3.6,855,ral-855,B-,1,99.756625,0.849333333
26,88 B- 1,4.18,88,ral-88,B-,1,70.00576742,1.032
27,129 B- 1,3.58,129,ral-129,B-,1,61.13881019,0.928666667
28,149 B- 1,4.06,149,ral-149,B-,1,59.58530556,1.024666667
29,161 B- 1,3.93,161,ral-161,B-,1,59.40789352,0.938
