"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CSF",65.0833333333333,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSF",256.016666666667,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSFH",46.5833333333333,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSFH",55.75,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSFH",64.3166666666667,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=CSFH",67.4,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=CSFH",68.5666666666667,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=CSFH",71.1166666666667,35,1,0.85,0.0564579489531811,0.746244544029642,0.968181282905702
"Trt=CSFH",73.2,34,1,0.825,0.0600780742034896,0.715266406015525,0.95156852646205
"Trt=CSFH",75.05,33,1,0.8,0.0632455532033676,0.685167250375447,0.934078503678194
"Trt=CSFH",75.3166666666667,32,1,0.775,0.0660255632312213,0.65581931620794,0.915839142209042
"Trt=CSFH",76.65,31,1,0.75,0.0684653196881458,0.627129960173383,0.896943274476131
"Trt=CSFH",78.2333333333333,30,1,0.725,0.0706001062322147,0.599029847976793,0.877460450051502
"Trt=CSFH",80.1,29,1,0.7,0.0724568837309472,0.571465885506425,0.857444009218099
"Trt=CSFH",82.3,28,1,0.675,0.0740565662179931,0.544396758578093,0.836935548973592
"Trt=CSFH",82.35,27,1,0.65,0.0754155156449918,0.517790000647464,0.815967862399216
"Trt=CSFH",83.2666666666667,26,1,0.625,0.0765465544619743,0.491620002739209,0.794566937519864
"Trt=CSFH",84.8166666666667,25,1,0.6,0.0774596669241483,0.46586663064962,0.772753351099656
"Trt=CSFH",86.0833333333333,24,1,0.575,0.0781624910043174,0.440514249491332,0.750543257980367
"Trt=CSFH",86.3333333333333,23,1,0.55,0.0786606636127614,0.415551032185233,0.727949100280804
"Trt=CSFH",88.9666666666667,22,1,0.525,0.0789580584867688,0.390968473969123,0.704980115664692
"Trt=CSFH",89.9833333333333,21,1,0.5,0.0790569415042095,0.366761063271134,0.681642696120073
"Trt=CSFH",90.1166666666667,20,1,0.475,0.0789580584867688,0.3429260778114,0.657940630937048
"Trt=CSFH",90.6,19,1,0.45,0.0786606636127614,0.31946348774142,0.633875255766029
"Trt=CSFH",91.1333333333333,18,1,0.425,0.0781624910043174,0.29637595754985,0.609445521469532
"Trt=CSFH",91.95,17,1,0.4,0.0774596669241483,0.273668947074593,0.584647990611772
