negLabel	posLabel	sampleNum	sampleInfo	line	treatment	sampleWeight	runOrder	block	lifespan	line.weight
QC1	QC1	NA	NA	QC	NA	NA	1	NA	NA	NA
QC2	QC2	NA	NA	QC	NA	NA	14	NA	NA	NA
QC3	QC3	NA	NA	QC	NA	NA	27	NA	NA	NA
QC4	QC4	NA	NA	QC	NA	NA	40	NA	NA	NA
QC5	QC5	NA	NA	QC	NA	NA	53	NA	NA	NA
QC6	QC6	NA	NA	QC	NA	NA	66	NA	NA	NA
QC7	QC7	NA	NA	QC	NA	NA	79	NA	NA	NA
QC8	QC8	NA	NA	QC	NA	NA	92	NA	NA	NA
QC9	QC9	NA	NA	QC	NA	NA	102	NA	NA	NA
neg1	pos1	1	855 B+ 1	ral-855	B+	3.48	2	1	99.756625	0.849333333
neg10	pos10	10	505 B+ 1	ral-505	B+	3.48	38	1	56.35609539	1.023333333
neg11	pos11	11	627 B+ 1	ral-627	B+	3.3	73	1	53.14998588	0.933333333
neg12	pos12	12	730 B+ 1	ral-730	B+	3.99	3	1	119.7186265	0.984666667
neg13	pos13	13	732 B+ 1	ral-732	B+	3.09	87	1	53.4629023	0.902
neg14	pos14	14	787 B+ 1	ral-787	B+	2.99	36	1	57.53811891	0.859333333
neg15	pos15	15	821 B+ 1	ral-821	B+	3.56	63	1	90.36076149	0.964666667
neg16	pos16	16	852 B+ 1	ral-852	B+	3.35	77	1	114.168537	1.036666667
neg17	pos17	17	320 B- 1	ral-320	B-	3.31	70	1	107.4690509	0.898666667
neg18	pos18	18	505 B- 1	ral-505	B-	3.35	75	1	56.35609539	1.023333333
neg19	pos19	19	627 B- 1	ral-627	B-	3.24	28	1	53.14998588	0.933333333
neg2	pos2	2	320 B+ 1	ral-320	B+	3.78	93	1	107.4690509	0.898666667
neg20	pos20	20	730 B- 1	ral-730	B-	4.06	9	1	119.7186265	0.984666667
neg21	pos21	21	732 B- 1	ral-732	B-	3.68	61	1	53.4629023	0.902
neg22	pos22	22	787 B- 1	ral-787	B-	2.73	30	1	57.53811891	0.859333333
neg23	pos23	23	821 B- 1	ral-821	B-	3.73	62	1	90.36076149	0.964666667
neg24	pos24	24	852 B- 1	ral-852	B-	4.3	16	1	114.168537	1.036666667
neg25	pos25	25	855 B- 1	ral-855	B-	3.6	90	1	99.756625	0.849333333
neg26	pos26	26	88 B- 1	ral-88	B-	4.18	83	1	70.00576742	1.032
neg27	pos27	27	129 B- 1	ral-129	B-	3.58	4	1	61.13881019	0.928666667
neg28	pos28	28	149 B- 1	ral-149	B-	4.06	50	1	59.58530556	1.024666667
neg29	pos29	29	161 B- 1	ral-161	B-	3.93	91	1	59.40789352	0.938
neg3	pos3	3	88 B+ 1	ral-88	B+	3.89	26	1	70.00576742	1.032
neg30	pos30	30	195 B- 1	ral-195	B-	3.54	65	1	109.4960028	1.069333333
neg31	pos31	31	239 B- 1	ral-239	B-	4.59	46	1	111.5966855	1.097333333
neg32	pos32	32	310 B- 1	ral-310	B-	3.62	94	1	98.4402919	1.078
neg33	pos33	33	855 B+ 2	ral-855	B+	3.11	19	2	99.756625	0.849333333
neg34	pos34	34	320 B+ 2	ral-320	B+	3.61	21	2	107.4690509	0.898666667
neg35	pos35	35	88 B+ 2	ral-88	B+	3.24	15	2	70.00576742	1.032
neg36	pos36	36	129 B+ 2	ral-129	B+	4.18	84	2	61.13881019	0.928666667
neg37	pos37	37	149 B+ 2	ral-149	B+	4.02	20	2	59.58530556	1.024666667
