,QC_1.mzdata,QC_2.mzdata,QC_3.mzdata,QC_4.mzdata,QC_5.mzdata,QC_6.mzdata,QC_7.mzdata,QC_8.mzdata,QC_9.mzdata,pos_1.mzdata,pos_2.mzdata,pos_3.mzdata,pos_4.mzdata,pos_5.mzdata,pos_6.mzdata,pos_7.mzdata,pos_8.mzdata,pos_9.mzdata,pos_10.2.mzdata,pos_11.mzdata,pos_12.mzdata,pos_13.mzdata,pos_14.mzdata,pos_15.mzdata,pos_16.mzdata,pos_17.mzdata,pos_18.mzdata,pos_19.mzdata,pos_20.mzdata,pos_21.mzdata,pos_22.mzdata,pos_23.mzdata,pos_24.mzdata,pos_25.mzdata,pos_26.mzdata,pos_27.mzdata,pos_28.mzdata,pos_29.mzdata,pos_30.mzdata,pos_31.mzdata,pos_32.mzdata,pos_33.mzdata,pos_34.mzdata,pos_35.mzdata,pos_36.mzdata,pos_37.mzdata,pos_38.mzdata,pos_39.mzdata,pos_40.mzdata,pos_41.mzdata,pos_42.mzdata,pos_43.mzdata,pos_44.mzdata,pos_45.mzdata,pos_46.mzdata,pos_47.mzdata,pos_48.mzdata,pos_49.mzdata,pos_50.mzdata,pos_51.mzdata,pos_52.mzdata,pos_53.mzdata,pos_54.mzdata,pos_55.mzdata,pos_56.mzdata,pos_57.mzdata,pos_58.mzdata,pos_59.mzdata,pos_60.mzdata,pos_61.mzdata,pos_62.mzdata,pos_63.mzdata,pos_64.mzdata,pos_65.mzdata,pos_66.mzdata,pos_67.mzdata,pos_68.mzdata,pos_69.mzdata,pos_70.mzdata,pos_71.mzdata,pos_72.mzdata,pos_73.mzdata,pos_74.mzdata,pos_75.mzdata,pos_76.mzdata,pos_77.mzdata,pos_78.mzdata,pos_79.mzdata,pos_80.mzdata,pos_81.mzdata,pos_82.mzdata,pos_83.mzdata,pos_84.mzdata,pos_85.mzdata,pos_86.mzdata,pos_87.mzdata,pos_88.mzdata,pos_89.mzdata,pos_90.mzdata,pos_91.mzdata,pos_92.mzdata,pos_93.mzdata
mz1,5863.212864,6377.062759,3048.429023,5890.185964,5343.966689,5256.192687,4880.901534,4465.112719,5709.0948,0,400.1645903,0,0,0,0,0,0,0,135.7512903,0,837.9909508,0,0,103.8521396,0,0,625.5769921,0,0,0,0,0,0,110.9519695,0,148.0715625,0,0,118.8737325,0,0,0,0,0,260.578144,0,0,0,0,0,0,0,0,0,0,0,0,127.2916153,0,0,0,110.4978522,302.9486438,0,0,0,0,0,0,0,124.2083387,0,0,104.4122452,0,0,0,0,0,0,0,0,0,118.1541988,0,0,0,130.7268649,0,117.5270653,109.4771084,0,0,0,119.4525056,0,151.5529592,0,183.7357564,0,0,0
mz2,6032.538237,4612.097591,3641.14585,3652.784812,3262.822541,3949.420733,4868.393982,4398.871257,4256.607573,0,311.1390974,0,0,0,113.6603617,0,0,0,108.9329817,0,359.1152178,0,123.467239,0,0,0,693.0928512,0,147.5994498,155.9301743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0855706,0,0,0,0,0,0,116.9116807,0,0,0,100.9890242,0,0,0,0,0,0,0,101.0723661,0,195.8766741,128.0074382,109.3295701,0,0,0,0,0,0,0,189.8180911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0268189,0,0,0,0,0,0,0,0,98.50524928,0,206.8847959
mz3,624268.9156,566780.0299,489245.6451,572673.3723,617012.7552,512355.789,398685.5793,293977.2475,319253.8427,41371.55993,25398.47337,38604.92246,55664.92468,17303.34055,74552.01375,11471.17247,73371.01767,30472.66994,23085.56333,70378.05967,95832.17435,74956.08595,11201.73824,118985.7521,24391.8389,80151.91356,41032.18865,94815.11196,99854.26145,96073.36827,70449.89621,24498.90154,54940.09091,40643.04168,22164.23353,6691.190524,36055.11254,4540.68104,3654.094148,4751.48078,4545.48275,8443.879082,2489.649439,6472.683774,5535.7294,5948.901289,4263.376946,4545.760058,7475.130184,3104.747743,6795.601513,4288.600213,5236.10805,3809.816675,3943.954832,6056.09435,4483.014208,4074.816746,4770.589922,4315.385171,5190.627637,6284.498822,7756.841878,3905.354724,3106.325985,4492.968533,3048.558873,34060.48257,4757.324427,10809.83655,20690.30699,28595.5316,9459.034703,21579.14705,2954.991563,2694.476819,4856.494628,12160.96961,11474.34426,11724.43551,3351.519044,18158.24399,5527.994878,5114.373178,3457.857566,8670.162843,6912.121701,3450.615826,3270.868614,3552.243155,6040.892835,4396.457272,16716.95318,6756.128503,3483.562862,12841.41125,4383.35024,6492.640144,2536.393276,7639.923385,10021.19461,5876.910677
mz4,257609.4853,243358.6399,219485.6252,249060.1086,260396.0455,213604.9898,168605.9348,114819.0438,126769.613,17433.48999,6340.17301,10864.80044,12562.86711,4500.215038,24179.02893,6912.878952,24137.89839,10899.63663,8896.914037,24989.10896,35881.73034,32344.44984,7174.001723,53455.95877,4530.378392,31095.69624,16282.68864,37883.04867,43487.05471,40619.06599,23232.78155,8437.018065,11485.35402,14093.15322,5979.407696,2705.425764,10798.37589,2660.818349,1727.47277,1815.14713,1561.21517,4194.104249,3479.26857,3457.153799,2381.731312,2736.554713,2333.562721,2244.299648,3273.017823,1178.029982,2747.0571,1772.635304,2108.153034,1441.241638,936.6378722,2682.756632,2113.199853,1976.152409,1326.196978,2467.756864,3134.690761,2774.272717,3016.627657,1475.158199,839.7821692,1752.97044,1696.90346,11988.91394,1142.56239,5524.112066,9103.145232,2081.543814,2732.358182,5770.906963,5263.999138,1593.825362,3802.647472,1880.870609,5094.212763,4881.417714,1502.550152,4015.458919,1725.909128,2359.205851,1107.677216,1719.193861,1456.886673,1071.432199,1526.633559,455.4072971,1435.942981,1354.634916,1409.239667,3017.976277,1317.996598,4254.8036,1875.9598,1857.540098,836.2722501,2063.13938,4308.985996,2350.373137
mz5,193409.2495,195947.0093,180724.0197,204460.0083,217159.5545,184616.7399,152401.7603,59818.35349,80011.73074,488.3411516,2515.2565,3598.235274,2344.720371,1097.735701,1757.275441,1199.896903,6068.134899,3415.786614,1508.264568,5735.871357,13834.27838,3637.244038,1674.795085,11910.9152,841.710616,1254.67172,4481.601094,4575.332538,10021.26489,6445.868835,3473.643887,1659.053582,2652.85655,288.6554871,387.3436982,978.2768738,3633.736708,1359.52046,138.8399183,113.2704595,0,692.6298473,823.8686706,1428.790837,1052.762278,1174.878642,793.2503454,971.3834687,695.2894402,113.7051887,718.0004722,811.8096442,391.0864307,0,179.2459177,877.608461,257.4509434,799.3302592,379.1606247,682.7448872,703.6553016,1309.690748,1278.36507,455.6695126,0,230.008149,402.8997823,844.8088141,482.4639182,1080.49809,1959.587325,632.1852797,480.0988132,0,1021.755975,107.5952093,295.8980164,176.5200734,123.2286723,705.0666361,240.6843078,618.8000069,218.9163151,177.367358,189.8057772,135.79805,264.898939,189.4051982,288.6239185,0,131.2988209,119.3961089,126.8470487,468.1760496,127.2160357,115.9641694,172.8694201,0,0,551.7116654,1251.291733,455.0967597
mz6,116671.3009,119774.8618,113825.0235,109774.2268,139942.2005,111352.7495,95453.07036,30173.55038,50038.83946,1476.864227,1098.956704,2565.807973,1143.442252,1596.544161,5203.534455,1146.413229,2288.28316,917.3444459,783.5951916,3108.925879,3248.103445,3955.638645,1929.095432,3356.361137,1304.678431,2969.410146,2170.191348,6451.052004,4063.926929,4190.474807,1667.394027,977.2814972,2194.305469,1391.295523,1924.44251,2802.439001,8808.222956,6974.628162,1252.290131,3121.344209,408.8131567,2061.207349,1787.09983,1851.116899,4193.344908,2206.012294,2739.670532,3757.98795,2956.34716,1091.799393,1780.491747,3352.825046,2138.537472,1253.368115,763.9169801,2177.404954,2698.442213,817.4493062,561.7928295,3767.196193,2365.008448,5227.625991,6378.358136,2166.395367,1182.362483,1350.565606,1680.592389,2083.188102,2709.836537,2225.328732,4582.033286,1052.4341,1083.847187,1132.746778,312.2142532,1272.48617,607.9482271,1073.207687,932.4656893,1154.301169,1305.341782,783.6975236,1548.905854,875.7671024,764.008644,987.0637443,808.5280813,348.9396995,1288.428925,1538.452213,310.2610592,1662.953182,1719.848065,1283.312901,731.563198,886.6528042,1608.326107,1146.830331,1352.345832,1100.7742,2398.988794,932.6350324
mz7,35333.53017,38438.86864,22575.87412,36330.83643,45580.85386,40429.44865,31987.37839,12604.29078,17745.55828,780.066906,412.6367122,2195.39411,1526.94859,329.8588273,879.7233886,746.7874867,2138.927278,1837.308968,1031.858169,540.3006573,3848.410706,1187.915051,549.0565667,3032.44446,1173.218869,605.4593195,1484.377152,1427.08032,1273.466981,137.8809919,2535.123798,562.429057,1933.888705,662.3719931,668.5581019,1006.838493,1566.080964,922.4990725,360.2517847,1005.05902,248.5093865,757.8031812,290.6879447,453.0361853,1712.947815,592.3260137,576.7186433,533.4340111,1271.481497,118.6860444,375.5463687,923.7746647,690.0607862,143.265688,0,484.311566,334.1194578,260.1767833,113.3885298,608.4227675,353.238171,481.7113976,1099.093669,340.0173829,0,123.1959406,142.2227506,397.9096895,537.2012348,805.3428218,295.1509525,1171.343887,460.2036663,193.7858886,0,248.1498634,220.9461711,492.4147507,254.1214948,935.8835126,109.7172262,652.1918732,261.8296001,144.5298085,0,151.6358528,116.0235766,536.3633338,199.7709447,331.5947397,0,0,124.2902496,651.4093108,297.5319688,799.8983686,483.1678495,106.9022382,148.4269698,0,1472.185677,368.5682565
mz8,43813.23553,46653.20318,29697.41017,38119.06735,50845.99586,27012.72485,28641.51122,24025.44613,16458.68232,1630.379676,2520.330109,4458.658714,4482.842375,3296.927296,4764.587227,2886.928973,5283.18692,4397.736189,3221.14581,1347.967417,3756.886289,5079.200521,2904.086604,5665.24702,2958.959423,1890.862372,2694.024785,4583.623075,6018.475664,4712.371383,2765.966994,3292.477186,3548.951352,610.5724978,1644.988402,2197.912726,5734.69879,1832.135324,731.5954701,1219.937897,675.1629605,1840.590203,2315.469055,1954.141567,1461.24167,1536.694211,1424.475132,1280.364657,2446.947859,510.8640682,1094.159317,1599.394159,2039.939567,598.9772671,1085.70012,2376.158774,1434.522665,1713.920191,879.1214933,1901.53763,1686.03192,1418.414162,2019.808691,809.4669072,637.9185089,525.176498,720.07764,1470.816561,950.2088361,1090.824227,1816.712598,1703.047069,1295.88934,1120.920877,2151.049579,818.7986153,1201.779178,1306.718405,1564.290229,1214.874869,1176.606702,1305.131034,1269.689151,948.9827979,431.3329195,1342.163279,695.1396214,623.6498534,853.8053381,796.3081573,427.4331532,864.2843254,1013.809841,1406.446321,1410.127792,1655.76291,1100.957652,1186.084764,696.2875146,532.1340205,1160.205189,1511.709039
mz9,47738.58349,45263.85305,35662.96749,32472.20136,58137.57549,51763.74196,49362.48492,11930.81013,18446.79973,0,0,285.9092966,0,0,231.1507004,0,239.4030864,0,0,0,741.3513358,0,0,1413.839035,0,0,234.4227041,221.9249875,0,0,106.4004878,0,178.2576283,107.4042604,0,0,0,286.6667205,0,335.0814262,0,0,0,0,0,125.632921,0,224.7309703,0,0,0,123.9135701,0,0,0,0,0,0,0,0,0,456.7238894,0,119.301113,0,0,0,0,0,0,112.8678545,148.3254604,119.8121653,0,0,0,0,0,0,0,0,124.4635086,115.9970813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz10,103430.4638,98002.01347,61058.79829,61718.16889,99680.95681,49954.845,63550.57564,24101.39543,50320.67215,5806.900333,4013.682191,6320.582825,5610.413205,3810.951802,3476.511685,3532.076,9490.166578,6550.002215,3950.587028,12664.463,13054.1401,10636.92748,3451.181154,8794.132969,3509.915602,9250.925006,4685.546113,13783.82803,12580.64608,16281.89225,11627.57829,5590.972006,5551.140002,1539.812171,2322.403541,2260.135853,2832.531517,2695.17571,2565.237147,1573.097364,1956.929703,2970.147367,2429.657111,1579.24852,2673.036058,2326.24774,2039.452981,1966.719532,2516.208563,155.7509208,2725.83145,2040.735075,1810.044163,1666.213238,1282.79054,1794.757413,2047.540619,2079.140875,1714.236822,2363.226692,1868.928046,2288.341338,2469.368874,1607.212032,639.4748084,977.0393148,1664.553935,1588.940242,1773.69295,1798.518742,3417.538413,2063.94953,1250.033237,1492.007979,2509.204636,1286.205978,1649.607659,1335.637306,1450.899167,1410.972464,1079.490969,1194.07496,1646.88264,1308.542951,1483.028209,1245.24099,1864.416162,1048.196874,909.6625892,1151.813397,1145.373408,1440.649463,1525.318151,1592.534996,1446.128115,1255.179728,1417.192181,1234.295045,1621.752574,1470.558848,1030.762998,1520.717984
