CensusTime,AgeH,Chamber,Collective,UniqueName,Transfer,Deaths,Carried,Censored,IntDeaths,Flag1,Flag2,N
8/21/17 4:04 PM,1.00,1,1,peroxide/_2_percent/RAL_239,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,2,2,water/none/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,3,3,peroxide/_1_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,4,4,peroxide/_1_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,5,5,peroxide/_half_percent/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,6,6,peroxide/_1_percent/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,7,7,peroxide/_half_percent/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,8,8,peroxide/_half_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,9,9,peroxide/_2_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,10,10,peroxide/_2_percent/RAL_239,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,11,11,peroxide/_1_percent/RAL_239,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,12,12,peroxide/none/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,13,13,water/_half_percent/RAL_320,Y,0,0,0,0,0,0,3
8/21/17 4:04 PM,1.00,14,14,water/_1_percent/RAL_320,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,15,15,water/_half_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,16,16,peroxide/_half_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,17,17,peroxide/none/RAL_627,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,18,18,peroxide/none/RAL_627,Y,0,0,0,0,0,0,8
8/21/17 4:04 PM,1.00,19,19,peroxide/_1_percent/RAL_320,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,20,20,peroxide/_2_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,21,21,peroxide/_half_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,22,22,peroxide/_2_percent/RAL_239,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,23,23,peroxide/_1_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,24,24,peroxide/none/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,25,25,peroxide/_2_percent/RAL_161,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,26,26,peroxide/_2_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,27,27,peroxide/none/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,28,28,peroxide/_2_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,29,29,peroxide/_1_percent/RAL_627,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,30,30,water/_2_percent/RAL_161,Y,0,0,0,0,0,0,6
8/21/17 4:04 PM,1.00,31,31,peroxide/_half_percent/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,32,32,water/none/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,33,33,peroxide/none/RAL_239,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,34,34,peroxide/_1_percent/RAL_161,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,35,35,peroxide/_half_percent/RAL_239,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,36,36,peroxide/_2_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,37,37,peroxide/_1_percent/RAL_627,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,38,38,peroxide/_1_percent/RAL_320,Y,0,0,0,0,0,0,10
8/21/17 4:04 PM,1.00,39,39,peroxide/none/RAL_239,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,40,40,water/_2_percent/RAL_627,Y,0,0,0,0,0,0,9
8/21/17 4:04 PM,1.00,41,41,peroxide/none/RAL_320,Y,0,0,0,0,0,0,10
